,date,Name,state,FIPS,positive,AQI,date_str
795,2020-03-30,Massachusetts,MA,25,71108,39.0,03/30/2020
960,2020-03-30,Minnesota,MN,27,7769,51.28571429,03/30/2020
1209,2020-03-30,Nebraska,NE,31,2000,33.14285714,03/30/2020
877,2020-03-30,Maine,ME,23,2880,46.28571429,03/30/2020
1165,2020-03-30,North Dakota,ND,38,1206,40.57142857,03/30/2020
542,2020-03-30,Idaho,ID,16,5691,25.71428571,03/30/2020
209,2020-03-30,Colorado,CO,8,28896,47.14285714,03/30/2020
250,2020-03-30,Connecticut,CT,9,33280,40.71428571,03/30/2020
419,2020-03-30,Georgia,GA,13,39867,42.57142857,03/30/2020
1419,2020-03-30,New York,NY,36,721175,36.14285714,03/30/2020
1789,2020-03-30,Texas,TX,48,37460,39.57142857,03/30/2020
501,2020-03-30,Iowa,IA,19,4959,38.57142857,03/30/2020
2001,2020-03-30,Wisconsin,WI,55,15694,50.57142857,03/30/2020
1666,2020-03-30,South Carolina,SC,45,11499,40.42857143,03/30/2020
1960,2020-03-30,Washington,WA,53,56345,62.85714286,03/30/2020
836,2020-03-30,Maryland,MD,24,19513,24.0,03/30/2020
1707,2020-03-30,South Dakota,SD,46,1329,35.57142857,03/30/2020
1336,2020-03-30,New Mexico,NM,35,3429,44.14285714,03/30/2020
4,2020-03-30,Alaska,AK,2,1125,33.57142857,03/30/2020
583,2020-03-30,Illinois,IL,17,63448,58.85714286,03/30/2020
1377,2020-03-30,Nevada,NV,32,10895,59.14285714,03/30/2020
127,2020-03-30,Arizona,AZ,4,12813,67.0,03/30/2020
378,2020-03-30,Florida,FL,12,61842,43.85714286,03/30/2020
168,2020-03-30,California,CA,6,75329,60.0,03/30/2020
1748,2020-03-30,Tennessee,TN,47,21590,63.42857143,03/30/2020
1460,2020-03-30,Ohio,OH,39,23192,37.14285714,03/30/2020
919,2020-03-30,Michigan,MI,26,156679,42.85714286,03/30/2020
1124,2020-03-30,North Carolina,NC,37,14889,35.85714286,03/30/2020
460,2020-03-30,Hawaii,HI,15,1996,45.71428571,03/30/2020
707,2020-03-30,Kentucky,KY,21,5224,50.42857143,03/30/2020
2084,2020-03-30,Wyoming,WY,56,1145,36.0,03/30/2020
461,2020-04-06,Hawaii,HI,15,3124,38.57142857,04/06/2020
1166,2020-04-06,North Dakota,ND,38,1967,31.42857143,04/06/2020
920,2020-04-06,Michigan,MI,26,209644,54.14285714,04/06/2020
1043,2020-04-06,Mississippi,MS,28,17012,34.57142857,04/06/2020
502,2020-04-06,Iowa,IA,19,9658,29.71428571,04/06/2020
1251,2020-04-06,New Hampshire,NH,33,5909,35.0,04/06/2020
5,2020-04-06,Alaska,AK,2,1726,20.28571429,04/06/2020
543,2020-04-06,Idaho,ID,16,9194,28.0,04/06/2020
333,2020-04-06,Delaware,DE,10,8972,36.0,04/06/2020
379,2020-04-06,Florida,FL,12,113768,36.0,04/06/2020
46,2020-04-06,Alabama,AL,1,20675,50.28571429,04/06/2020
2085,2020-04-06,Wyoming,WY,56,2259,37.14285714,04/06/2020
1626,2020-04-06,Rhode Island,RI,44,17573,38.85714286,04/06/2020
1084,2020-04-06,Montana,MT,30,2528,21.71428571,04/06/2020
584,2020-04-06,Illinois,IL,17,124993,46.71428571,04/06/2020
1831,2020-04-06,Utah,UT,49,14534,42.85714286,04/06/2020
1125,2020-04-06,North Carolina,NC,37,27854,39.14285714,04/06/2020
1667,2020-04-06,South Carolina,SC,45,20671,33.28571429,04/06/2020
1790,2020-04-06,Texas,TX,48,79467,47.85714286,04/06/2020
626,2020-04-06,Indiana,IN,18,48307,51.0,04/06/2020
1584,2020-04-06,Pennsylvania,PA,42,137692,43.71428571,04/06/2020
420,2020-04-06,Georgia,GA,13,78694,35.71428571,04/06/2020
1210,2020-04-06,Nebraska,NE,31,4473,36.85714286,04/06/2020
667,2020-04-06,Kansas,KS,20,8199,27.42857143,04/06/2020
1708,2020-04-06,South Dakota,SD,46,3920,37.57142857,04/06/2020
1873,2020-04-06,Virginia,VA,51,31627,36.71428571,04/06/2020
1749,2020-04-06,Tennessee,TN,47,34028,38.71428571,04/06/2020
749,2020-04-06,Louisiana,LA,22,132475,36.0,04/06/2020
1337,2020-04-06,New Mexico,NM,35,7605,36.14285714,04/06/2020
128,2020-04-06,Arizona,AZ,4,22065,53.71428571,04/06/2020
1420,2020-04-06,New York,NY,36,1182811,32.85714286,04/06/2020
1502,2020-04-06,Oklahoma,OK,40,12381,36.85714286,04/06/2020
708,2020-04-06,Kentucky,KY,21,10692,38.71428571,04/06/2020
210,2020-04-06,Colorado,CO,8,45683,51.57142857,04/06/2020
1296,2020-04-06,New Jersey,NJ,34,382053,41.28571429,04/06/2020
292,2020-04-06,District of Columbia,DC,11,11442,32.71428571,04/06/2020
961,2020-04-06,Minnesota,MN,27,12017,50.28571429,04/06/2020
1961,2020-04-06,Washington,WA,53,71907,35.28571429,04/06/2020
1461,2020-04-06,Ohio,OH,39,41149,29.85714286,04/06/2020
837,2020-04-06,Maryland,MD,24,47908,18.28571429,04/06/2020
2002,2020-04-06,Wisconsin,WI,55,25317,40.28571429,04/06/2020
1914,2020-04-06,Vermont,VT,50,4694,37.0,04/06/2020
1002,2020-04-06,Missouri,MO,29,26274,33.14285714,04/06/2020
796,2020-04-06,Massachusetts,MA,25,146458,36.42857143,04/06/2020
87,2020-04-06,Arkansas,AR,5,8152,27.57142857,04/06/2020
1543,2020-04-06,Oregon,OR,41,9544,37.42857143,04/06/2020
169,2020-04-06,California,CA,6,135360,60.0,04/06/2020
251,2020-04-06,Connecticut,CT,9,72810,35.71428571,04/06/2020
878,2020-04-06,Maine,ME,23,4149,40.57142857,04/06/2020
1378,2020-04-06,Nevada,NV,32,17952,50.42857143,04/06/2020
2043,2020-04-06,West Virginia,WV,54,3765,29.42857143,04/06/2020
1462,2020-04-13,Ohio,OH,39,67335,43.14285714,04/13/2020
1338,2020-04-13,New Mexico,NM,35,11813,42.14285714,04/13/2020
129,2020-04-13,Arizona,AZ,4,31221,60.85714286,04/13/2020
252,2020-04-13,Connecticut,CT,9,115611,38.85714286,04/13/2020
1627,2020-04-13,Rhode Island,RI,44,32039,41.0,04/13/2020
797,2020-04-13,Massachusetts,MA,25,244459,40.42857143,04/13/2020
380,2020-04-13,Florida,FL,12,159222,35.42857143,04/13/2020
2086,2020-04-13,Wyoming,WY,56,2865,35.14285714,04/13/2020
585,2020-04-13,Illinois,IL,17,192173,57.57142857,04/13/2020
838,2020-04-13,Maryland,MD,24,80682,22.71428571,04/13/2020
709,2020-04-13,Kentucky,KY,21,17167,46.14285714,04/13/2020
1791,2020-04-13,Texas,TX,48,120583,38.14285714,04/13/2020
462,2020-04-13,Hawaii,HI,15,3799,36.71428571,04/13/2020
170,2020-04-13,California,CA,6,191746,64.0,04/13/2020
1379,2020-04-13,Nevada,NV,32,24328,56.57142857,04/13/2020
1750,2020-04-13,Tennessee,TN,47,45823,40.85714286,04/13/2020
6,2020-04-13,Alaska,AK,2,2141,26.14285714,04/13/2020
1167,2020-04-13,North Dakota,ND,38,3273,32.85714286,04/13/2020
503,2020-04-13,Iowa,IA,19,16941,31.14285714,04/13/2020
1709,2020-04-13,South Dakota,SD,46,9740,35.42857143,04/13/2020
879,2020-04-13,Maine,ME,23,5716,43.85714286,04/13/2020
2003,2020-04-13,Wisconsin,WI,55,33716,43.85714286,04/13/2020
1962,2020-04-13,Washington,WA,53,85278,37.42857143,04/13/2020
962,2020-04-13,Minnesota,MN,27,18532,41.14285714,04/13/2020
544,2020-04-13,Idaho,ID,16,11108,32.14285714,04/13/2020
421,2020-04-13,Georgia,GA,13,116990,31.28571429,04/13/2020
211,2020-04-13,Colorado,CO,8,63212,63.28571429,04/13/2020
47,2020-04-13,Alabama,AL,1,31381,42.28571429,04/13/2020
1211,2020-04-13,Nebraska,NE,31,7689,38.42857143,04/13/2020
1126,2020-04-13,North Carolina,NC,37,40868,38.28571429,04/13/2020
1421,2020-04-13,New York,NY,36,1594943,37.14285714,04/13/2020
1668,2020-04-13,South Carolina,SC,45,27796,36.28571429,04/13/2020
1003,2020-04-13,Missouri,MO,29,36966,30.0,04/13/2020
921,2020-04-13,Michigan,MI,26,253001,52.57142857,04/13/2020
1297,2020-04-13,New Jersey,NJ,34,549165,42.14285714,04/13/2020
334,2020-04-13,Delaware,DE,10,15779,38.85714286,04/13/2020
88,2020-04-13,Arkansas,AR,5,11807,31.42857143,04/13/2020
1044,2020-04-13,Mississippi,MS,28,26624,29.42857143,04/13/2020
1585,2020-04-13,Pennsylvania,PA,42,205596,43.42857143,04/13/2020
1544,2020-04-13,Oregon,OR,41,12527,41.57142857,04/13/2020
1832,2020-04-13,Utah,UT,49,19655,41.71428571,04/13/2020
293,2020-04-13,District of Columbia,DC,11,17467,35.0,04/13/2020
1503,2020-04-13,Oklahoma,OK,40,17118,42.28571429,04/13/2020
627,2020-04-13,Indiana,IN,18,70715,49.85714286,04/13/2020
1874,2020-04-13,Virginia,VA,51,52631,44.14285714,04/13/2020
2044,2020-04-13,West Virginia,WV,54,5385,34.28571429,04/13/2020
668,2020-04-13,Kansas,KS,20,11838,29.42857143,04/13/2020
1085,2020-04-13,Montana,MT,30,2932,14.14285714,04/13/2020
1252,2020-04-13,New Hampshire,NH,33,8606,35.28571429,04/13/2020
750,2020-04-13,Louisiana,LA,22,161150,35.85714286,04/13/2020
1915,2020-04-13,Vermont,VT,50,5534,41.28571429,04/13/2020
294,2020-04-20,District of Columbia,DC,11,24625,43.42857143,04/20/2020
335,2020-04-20,Delaware,DE,10,24653,42.14285714,04/20/2020
1963,2020-04-20,Washington,WA,53,97912,44.42857143,04/20/2020
545,2020-04-20,Idaho,ID,16,12794,38.71428571,04/20/2020
422,2020-04-20,Georgia,GA,13,154289,35.42857143,04/20/2020
669,2020-04-20,Kansas,KS,20,19053,32.42857143,04/20/2020
